StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
GUJARAT,BHAVNAGAR,MAHUVA,NA,HORTICULTURE,Vegetables,Onion,"	Plant Protection	","ask about i khedut","અરજી નંબર	: 2023-24/I/29078
અરજી તારીખ	: 11 Apr 2023
અરજદારનું નામ	: દિનેશભાઈ ઘુસા ભાઈ બલદાણિયા
જિલ્લા	: ભાવનગર
તાલુકો	: મહુવા
ગામ	: બોરડી
 
ઘટકનું નામ	: રાજયના લાલ ડુંગળી ઉત્પાદન કરતા ખેડૂતોને સૌરાષ્ટના જિલ્લાઓની એ.પી.એમ.સી.માં વેચાણ કરવા માટે સહાય
 
અરજી ઇન્વર્ડ થયા તારીખ	: 11 May 2023
 
અરજીનું સ્ટેટસ
 
પાત્રતા ધરાવે છે ?	: ના
 
સૈધ્ધાંતિક મંજુરીનું સ્ટેટસ ?	: ના
 
અરજીની ચકાસણી થઇ ગયેલ છે કે કેમ?	: ના
 
પેમેન્ટ ઓર્ડરનું સ્ટેટસ ?	: ના",2023-10-18T16:54:07.497,2023,10
HARYANA,SIRSA,"NATHUSARI CHOPTA",NA,AGRICULTURE,Oilseeds,Mustard,Varieties,"Information regarding to varieties in mustard ?","सरसों की उन्नत किस्में :- आर एच 30 , टी 59  (वरुणा), आर एच 8113 (सौरभ ) आर बी 50 , आर एच 8812 (लक्ष्मी ) , आर एच 781 , आर एच 819 , आर एच 9304 (वसुंधरा) , आर एच 9801 (स्वर्ण  ज्योति), आर एच 0406 ,  RB 9901 (गीता ),  आर एच 0725, आर एच 0749 , आर एच 761 , आर एच 1424,  आर एच 1706 आदि है |",2023-10-18T16:54:32.987,2023,10
"JAMMU AND KASHMIR",BADGAM,KHAG,NA,HORTICULTURE,Fruits,Apple,"Cultural Practices","Suitable time for pruning in apple orchard","You can prune your orchard when 50 percent leaf fall occurs",2023-10-18T16:55:52.017,2023,10
"MADHYA PRADESH",UJJAIN,GHATIYA,NA,HORTICULTURE,Vegetables,Onion,"Nutrient Management","Farmer wants information about fertilizer management in onion crop","बिजाई से 10 दिन पहले 20 टन रूड़ी की खाद डालें| नाइट्रोजन 40 किलो(यूरिया 90 किलो), फासफोरस 20 किलो(सिंगल सुपर फासफेट 125 किलो) और पोटाश 20 किलो(मिउरेट ऑफ़ पोटाश 35 किलो) प्रति एकड़ डालें| फासफोरस और पोटाश की पूरी मात्रा और नाइट्रोजन की आधी मात्रा रोपण के समय डालें| बाकि बची हीउ नाइट्रोजन टॉप ड्रेसिंग (मिट्टी में मिलाना) के तौर पर रोपण के चार हफ्ते बाद डालें|

पानी में घुलनशील खादें: रोपण से 10-15 दिन बाद सूक्ष्म-तत्व 2.5-3 ग्राम प्रति लीटर पानी के साथ  19:19:19 की स्प्रे करें|",2023-10-18T16:57:46.523,2023,10
HARYANA,SIRSA,"NATHUSARI CHOPTA",NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","आपके जिले  में  आगामी 22 अक्टूबर तक मौसम परिवर्तनशील रहने की संभावना है। इस दौरान बीच-बीच में आंशिक बादलवाई  मौसम रहने के आसार है किन्तु बारिश की संभावना नहीं  है। आज का अधिकतम तापमान 28 डिग्री सेल्सियस व न्यूनतम तापमान 23 डिग्री सेल्सियस रहने का अनुमान है , जबकि हवा की गति 15 से 20 किलोमीटर प्रति घंटे की दर से चलने की संभावना है |",2023-10-18T16:58:01.047,2023,10
PUNJAB,BHATINDA,PHUL,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","Information regarding the control of Stem borer in Paddy ?
","ਝੋਨੇ/ ਬਾਸਮਤੀ ਵਿੱਚ ਤਣੇ ਦੇ ਗੜੁਏਂ ਦੀ ਰੋਕਥਾਮ ਲਈ 80 ਮਿਲੀਲੀਟਰ ਇਕੋਟੀਨ 5% ਈ.ਸੀ (ਅਜੈਡੀਰੈਕਟੀਨ) 60 ਮਿਲੀਲੀਟਰ ਕੋਰਾਜਨ 18.5 ਐੱਸ.ਸੀ (ਕਲੋਰਐਂਟਰਾਨੀਲੀਪਰੋਲ) ਜਾਂ 20 ਮਿਲੀਲੀਟਰ ਫੇਮ 480 ਐੱਸ.ਸੀ (ਫਲੂਬੈਂਡਾਮਾਈਡ) ਜਾਂ 170 ਗ੍ਰਾਮ ਮੋਰਟਾਰ 75 ਐੱਸ.ਜੀ (ਕਾਰਟਾੱਪ ਹਾਈਡਰੋਕਲੋਰਾਈਡ) ਜਾਂ 1 ਲੀਟਰ ਕਲੋਰਪਾਈਰੀਫਾਸ 20 ਈ ਸੀ ਨੂੰ 100 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪ੍ਰਤੀ ਏਕੜ ਦੇ ਹਿਸਾਬ ਨਾਲ ਛਿੜਕਾਅ ਕਰੋ ",2023-10-18T16:59:22.727,2023,10
MAHARASHTRA,AKOLA,BARSHITAKLI,NA,AGRICULTURE,Pulses,"Pigeon pea (red gram/arhar/tur)","Nutrient Management","FERTILIZER SPRAY FOR GROWTH IN PIGEON PEA ?
","१२ ६१ ०० ६० ग्रॅम + मायक्रोला ३० मिली / १५ लिटर पाण्यात घेऊन फवारणी करणे 
",2023-10-18T17:00:15.703,2023,10
TELANGANA,SIDDIPET,AKKANNAPET,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు",2023-10-18T17:01:53.343,2023,10
TELANGANA,NIRMAL,BHAINSA,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","మీ ప్రాంతములో  వాతావరణం ఎండా మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. 
",2023-10-18T17:02:01.41,2023,10
HARYANA,ROHTAK,ROHTAK,NA,AGRICULTURE,Others,Others,"Nutrient Management","Information regarding fertilizer dose in wheat?
","Quantity of fertilizer in wheat :- 90 kg urea, 150 kg single super phosphate, 10 kg zinc sulphate (21%) and 20 kg murate of potash per kg or 100 kg urea, 50 kg DAP 20 kg murate of potash",2023-10-18T17:02:02.39,2023,10
