StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
RAJASTHAN,NAGAUR,JAYAL,JAYAD,AGRICULTURE,Cereals,"Barley (Jau)",Weather,"TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS",2015-05-26T21:34:14.46,2015,5
"HIMACHAL PRADESH",MANDI,SUNDARNAGAR,KHARIF,HORTICULTURE,Vegetables,"Bitter Gourd","	Plant Protection	","How to control Caterpiler in Biter Gourd ?","control Caterpiler in Biter Gourd are : Spray Desis @ 1 ml /1 Liter Of Water .",2015-05-26T21:34:15.637,2015,5
"UTTAR PRADESH",SITAPUR,KHAIRABAD,JAYAD,AGRICULTURE,"Sugar and Starch Crops","Sugarcane (Noble Cane)","Weed Management","WEED PROBLEM IN SUGERCANE","Paraquat di-chloride 24% SL 1000 LITER/ACRE",2015-05-26T21:34:15.74,2015,5
"UTTAR PRADESH",BASTI,BASTI,KHARIF,AGRICULTURE,Cereals,"Paddy (Dhan)",Seeds,"sented rice verieties name","use of rice seed name pusa 1509 , pusa 1121 , pusa basmati 3 , pusa basmati 5",2015-05-26T21:35:19.407,2015,5
RAJASTHAN,JAIPUR,CHAKSU,NA,AGRICULTURE,Others,Others,"Government Schemes","TELL ME PROCESS AND ADRESS FOR HKETI RI BANTA","SEND MONEY ORDER TO AHARAN VITRAN ADHIKARI, KRISHI AYUCTALAYA, ROOM NO.- 250, PANT KRISHI BHAWAN, JAIPUR-302005 FOR GET KHETI RI BATAN MAGZINE",2015-05-26T21:36:36.567,2015,5
ASSAM,KAMRUP,KAMALPUR(PT.),NA,"ANIMAL HUSBANDRY",Animal,"Bovine(Cow,Buffalo)","Disease Management","query about availability of frozen semen for AI of a jersy cow","advised given to contact KVK/gov.hospital/SIRD for further information",2015-05-26T21:37:31.57,2015,5
"MADHYA PRADESH",SEONI,SEONI,JAYAD,AGRICULTURE,Others,Others,"Market Information","Farmer wants to know information about registration of mandi information?","Recommended for registration of market information you have been registered for market information from kisaan call center",2015-05-26T21:39:21.383,2015,5
HARYANA,BHIWANI,TOSHAM,KHARIF,AGRICULTURE,Others,Others,Weather,"Information regarding weather in BHIWANI.?","Information regarding weather in BHIWANI.?
Some clouds no chance of rain fall today.",2015-05-26T21:39:29.527,2015,5
RAJASTHAN,TONK,MALPURA,KHARIF,AGRICULTURE,Millets,"Buck Wheat (Kaspat)",Weather,"TELL ME WEATHER INFORMATION ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY",2015-05-26T21:41:07.9,2015,5
"MADHYA PRADESH",INDORE,INDORE,JAYAD,AGRICULTURE,Others,Others,Weather,"farmer want to weather information your dist indore ?","----------- ------------------- ------------------- ------------------- -------------------
    PARAMETERS                                            ENSEMBLE FCST   
                   ----------------------------------------------------------------------------------------------------
                              DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              27/05               28/05               29/05               30/05               31/05
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0
Max Temperature ( deg C)       41                  42                  43                  42                  42
Min Temperature ( deg C)       28                  29                  30                  31                  30",2015-05-26T21:41:12.937,2015,5
