StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"WEST BENGAL","SOUTH 24 PARGANAS",FALTA,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL OF SHEATH ROT IN PADDY.
 ","SPRAY   HEXACONAZOLE 5% EC/SC  @  1.5 ML /  LIT OF WATER.",2022-08-27T15:49:21.98,2022,8
PUNJAB,KAPURTHALA,KAPURTHALA,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","Information regarding the control of sheath blight in paddy crop ?
","ਝੋਨੇ/ਬਾਸਮਤੀ ਵਿੱਚ ਤਣੇ ਦੁਆਲੇ ਪੱਤੇ ਦੇ ਝੁਲਸ ਰੋਗ ਦੀ ਰੋਕਥਾਮ ਲਈ 150 ਮਿਲੀਲੀਟਰ ਪਲਸਰ 24 ਐੱਸ ਸੀ (ਥਾਈਫਲੂਜਾਮਾਈਡ) ਜਾਂ 26.8 ਗ੍ਰਾਮ ਐਪਿਕ 75 ਡਬਲਯੂ ਜੀ (ਹੈਕਜਾਕੋਨਾਜੋਲ) ਜਾਂ 400 ਮਿਲੀਲੀਟਰ ਗਲੀਲੀਓ ਵੇਅ 18.76 ਐੱਸ ਸੀ (ਪੀਕੋਕਸਿਸਟਰੋਬਿਨ 7%+ ਪ੍ਰੋਪੀਕੋਨਾਜੋਲ 12%) ਜਾਂ 200 ਮਿਲੀਲੀਟਰ ਐਮੀਸਟਾਰ ਟਾਪ 325 ਐੱਸ ਸੀ ((ਐਜੋਕਸਿਸਟਰੋਬਿਨ 18.2%+ ਡਾਈਫ਼ੈਨਕੋਨਾਜੋਲ 11.4%) ਜਾਂ 200 ਮਿਲੀਲੀਟਰ ਫੋਲੀਕਰ 25 ਈ ਸੀ (ਟੈਬੂਕੋਨਾਜੋਲ) ਜਾਂ 80 ਗ੍ਰਾਮ ਨੈਟਿਵੋ 75 ਡਬਲਯੂ ਜੀ (ਟਰਾਈਫਲੋਕਸਿਸਟਰੋਬਿਨ 25%+ਟੈਬੂਕੋਨਾਜੋਲ 50%) ਜਾਂ 320 ਮਿਲੀਲੀਟਰ ਲਸਚਰ 37.5 ਐੱਸ ਈ (ਫਲੁਜੀਲਾਜੋਲ 25%+ਕਾਰਬੈਂਡਾਜਿਮ 12.5%) ਜਾਂ 200 ਮਿਲੀਲੀਟਰ ਮੋਨਸਰਨ 250 ਐੱਸ ਸੀ (ਪੈਨਸਾਇਕੁਰੋਨ) ਨੂੰ 200 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ ਪਾ ਕੇ ਪ੍ਰਤੀ ਏਕੜ ਛਿੜਕਾਅ ਕਰੋ ",2022-08-27T15:49:25.147,2022,8
PUNJAB,MUKTSAR,MALOUT,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF WHITE FLY IN COTTON ?
","ਨਰਮੇ ਵਿਚ ਚਿੱਟੀ ਮਖੀ ਦੀ ਰੋਕਥਾਮ ਲਈ -400 ਮਿਲੀਲਿਟਰ ਸਫ਼ੀਨਾ 50 ਡੀ ਸੀ (ਅਫਿਡੋਪਾਇਰੋਪਿਨ), 1 ਲੀਟਰ ਨਿਮ੍ਬਿਸਿਡੀਨ ,ਜਾਂ 400 ਮਿਲੀਲਿਟਰ ਅਪਲੋਡ 25 ਐਸ ਸੀ (ਬੂਪਰੋਫੈਜਿਨ)ਜਾਂ20 ਮਿਲੀਲਿਟਰ ਡੇਨਟੇਟਸੁ (ਕਲੋਥੀਆਨਿਡੀਨ) ਜਾਂ 80 ਗ੍ਰਾਮ ਉਲਾਲਾ ,ਜਾਂ 60 ਗ੍ਰਾਮ ਓਸ਼ੀਨ ,ਜਾਂ 200 ਗ੍ਰਾਮ ਪੋਲੋ,ਜਾਂ 500 ਮਿਲੀ ਲੈਨੋ ,ਜਾਂ 200 ਮਿਲੀ ਓਬੇਰੋਨ ,ਜਾਂ 800 ਮਿਲੀ ਇਥੀਆਨ ਨੂੰ 125-150 ਲੀਟਰ ਪਾਣੀ ਚ ਪਾਕੇ ਪ੍ਰਤੀ ਏਕੜ ਛਿੜਕਾ ਕਰੋ
",2022-08-27T15:49:26.47,2022,8
ODISHA,BALANGIR,TITLAGARH,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","Nutrient Management","How to improve the tillers in Pan 804 (Jamuna)","Recommended to spray IFFCO Sagarika (Liquid micronutrient) @ ୨ ମିଲି କୁ ୧ ଲିଟର ପାଣି ରେ ମିଶେଇ ସ୍ପ୍ରେ କରିପାରିବେ. ",2022-08-27T15:49:43.96,2022,8
"UTTAR PRADESH",FIROZABAD,ARAON,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","महोदय, 27 अगस्त से 1 सितंबर के बीच वर्षा होने की संभावना नहीं है, आंशिक रूप से बादल छाए रहेंगे। आज का न्यूनतम तापमान 30 ° C और अधिकतम तापमान 35 ° C  एवं हवा की गति 4 किलोमीटर प्रति घंटा रहने की संभावना है। मौसम के अनुसार कृषि कार्य को करे l  
",2022-08-27T15:49:44.66,2022,8
RAJASTHAN,JAISALMER,SANKRA,NA,AGRICULTURE,"Fodder Crops",Guar,"Weed Management","ASKED ABOUT TO WEED CONTROL IN GUAR ?
","ग्वार की फसल में सभी खरपतवारों की रोकथाम के लिए इमिजाथायपर 10% एस.एल. 400 ग्राम प्रति हेक्टर 400-500 लिटर पानी में घोल बनाकर बुवाई के 30 दिन की अवस्था पर छिड़काव करे।
",2022-08-27T15:49:52.273,2022,8
"MADHYA PRADESH",UJJAIN,BADNAGAR,NA,AGRICULTURE,Oilseeds,"Soybean (bhat)","	Plant Protection	","Farmer wants to know information about to control white fly in soybean crop?
","डायफेंथियूरोन 50% डब्ल्यू .पी. (पेजर, बेमिरोन, पेगासस) 25 ग्राम  प्रीति पंप 15 लीटर पानी के साथ मिश्रित कर स्प्रे करें l
",2022-08-27T15:50:01.76,2022,8
RAJASTHAN,ALWAR,"KISHANGARH BAS",NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","मौसम का पूर्वानुमान जिले का नाम अलवर और ब्लॉक किशनगढ़ बास में..अगले तीन दिनों में वर्षा होने की संभावना  है, लेकिन आंशिक रूप से बादल छाए रहेंगे। आज का अपेक्षित अधिकतम तापमान (34 डिग्री सेल्सियस और न्यूनतम तापमान 23 डिग्री सेल्सियस और हवा की गति 11 किलोमीटर प्रति घंटा) चलने की संभावना है।

",2022-08-27T15:50:10.76,2022,8
BIHAR,"PASHCHIM CHAMPARAN",RAMNAGAR,NA,AGRICULTURE,Others,Others,"Government Schemes","government schemes related to query ","--dbt cell no-0612-2233555 से संपर्क करें 
ब्लॉक में एग्रीकल्चर कोऑर्डिनेटर से  संपर्क करें ",2022-08-27T15:50:17.22,2022,8
KARNATAKA,BIJAPUR,BIJAPUR,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","ನಿಮ್ಮ ತಾಲೂಕಿನಲ್ಲಿ ಶೇಕಡಾ 50% ಮಳೆ ನಿರೀಕ್ಷೆ ಇದ್ದು  ,  ಭಾಗಶಃ ಮೋಡ ಕವಿದ ವಾತಾವರಣವಿದೆ , ಇಂದಿನ ನಿರೀಕ್ಷೆ (ಗರಿಷ್ಠ ತಾಪಮಾನ 30° C ಮತ್ತು ಕನಿಷ್ಠ ತಾಪಮಾನ 21° ಮತ್ತು ಗಾಳಿಯ ವೇಗ ಗಂಟೆಗೆ 11ಕಿಲೋಮೀಟರ್ ವೇಗದಲ್ಲಿ ಚಲಿಸುವ ಸಾಧ್ಯತೆಯಿದೆ).   ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ವರುಣ ಮಿತ್ರ ನಂಬರಿಗೆ ಕರೆ ಮಾಡಿ - 08067735999  ಮತ್ತು  9243345433
",2022-08-27T15:50:34.847,2022,8
