StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
PUNJAB,HOSHIARPUR,GARHSHANKAR,KHARIF,AGRICULTURE,0,Wheat,"Fertilizer Use and Availability","INFORMATION REGARDING ZINC DEFICINCY IN WHEAT CROP?","SPRAY 1 KG OF ZINC SULPHATE IN 200 LITRES OF WATER/ACRE.",2010-12-07T16:06:00,2010,12
"WEST BENGAL",BARDDHAMAN,"0   ",KHARIF,HORTICULTURE,0,1279,99,"CONTROL OF FLOWER DROPPING IN BRINJAL","SPRAY PLANOFIX @ 1 ML/4.5 LIT. OF WATER",2010-12-07T16:09:00,2010,12
UTTARAKHAND,9999,"0   ",KHARIF,HORTICULTURE,0,1287,91,"TREAT THE SEED OF CAULIFLOWER WITH THIRAM @ 3 GM / KG OF SEED",NA,2010-12-07T16:14:00,2010,12
BIHAR,SARAN,"0   ",KHARIF,AGRICULTURE,0,Wheat,"Fertilizer Use and Availability","FERTILIZER REQUIREMENT IN WHEAT.","FERTILIZER ARE N:P:K @ 120:60:40 KG.ALONG WITH COMPOST MAINURE @ 100-150 KV./HECT.",2010-12-07T16:16:00,2010,12
"UTTAR PRADESH",ETAH,"0   ",KHARIF,HORTICULTURE,0,1296,75,"aalu ki patti jhulas rahi hain",NA,2010-12-07T16:18:00,2010,12
GUJARAT,JAMNAGAR,"0   ",KHARIF,AGRICULTURE,0,Wheat,21,"herbicide in wheat","use of algrip 4gm/hac. of land",2010-12-07T16:18:00,2010,12
GUJARAT,"PANCH MAHAL","0   ",KHARIF,AGRICULTURE,0,1075,3,"asked for the heliothis problem in maize","sugested to aply quinalphos 25ml/pump, and foret 33kg/hac.",2010-12-07T16:19:00,2010,12
KARNATAKA,DHARWAD,"0   ",NA,AGRICULTURE,0,"Pigeon pea (red gram/arhar/tur)",3,chloro,"pigion pea pest",2010-12-07T16:23:00,2010,12
UTTARAKHAND,NAINITAL,"0   ",KHARIF,HORTICULTURE,0,Mushroom,89,"MASHROOM KI KHATI KE BARE ME JANKARI DE?","PLEASE CONTECT NEAREST K.V.K. OR G.B.PANT UNIVERSITY,PANT NAGAR",2010-12-07T16:26:00,2010,12
"UTTAR PRADESH",GORAKHPUR,"0   ",KHARIF,825,0,1266,"	Training	","murgi palan ki training karna hai",NA,2010-12-07T16:26:00,2010,12
