StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"UTTAR PRADESH",PILIBHIT,AMARIYA,KHARIF,AGRICULTURE,Cereals,"Paddy (Dhan)","	Water Management	","solar pamp lena hai","www.agriculture.up.nic.in par online abedan kare",2017-09-04T17:03:01.74,2017,9
MAHARASHTRA,AURANGABAD,GANGAPUR,KHARIF,AGRICULTURE,Others,Others,Weather,"ASKING ABOUT WEATHER INFORMATION ?","Sky is likely to be generally CLOUDY  , light RAINFALL CHANCES ..",2017-09-04T17:03:02.343,2017,9
"MADHYA PRADESH",NEEMUCH,JAWAD,KHARIF,AGRICULTURE,Others,Others,Weather,"farmer want to know about maket  information?","according to meterological department chance of light to medium rainfall and weather will be cloudy for next 10 days in dist.",2017-09-04T17:03:07.077,2017,9
PUNJAB,"SHAHID BHAGAT SINGH NAGAR (Nawanshahr)",BANGA,NA,AGRICULTURE,Others,Others,"	Plant Protection	","Information regarding control for sheath blight in paddy crop?","Use spray notivo 80gm/acre and Tilt 200ml/acre in 200 litre water.",2017-09-04T17:03:13.947,2017,9
MAHARASHTRA,NANDURBAR,NANDURBAR,NA,AGRICULTURE,"Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of white fly in cotton?","attack of white fly in cotton=Spray Nuvan  20 ml/ 15Lit of Water(Diclorvos 76%)Cheminova",2017-09-04T17:03:25.097,2017,9
"JAMMU AND KASHMIR",JAMMU,BHALWAL,KHARIF,AGRICULTURE,Cereals,"Paddy (Dhan)",Weather,"rice hopper?","methyl parathion 1 ml per 1 litre of water",2017-09-04T17:03:26.13,2017,9
UTTARAKHAND,"UDHAM SINGH NAGAR",GADARPUR,KHARIF,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","gross hoper in paddy ..?","spray Dichlorvos 76% EC @ 250 ml/acre",2017-09-04T17:03:49.427,2017,9
"MADHYA PRADESH",ASHOKNAGAR,MUNGAOLI,NA,AGRICULTURE,Others,Others,Weather,"farmer want to know Weather forecasting for Mungaoli block of Madhya Pradesh?","Mungaoli 1 – 3 Day Weather Forecast Summary: Moderate rain (total 12mm), heaviest on Mon afternoon. Warm (max 33°C on Wed afternoon, min 25°C on Wed night). Wind will be generally light.",2017-09-04T17:04:24.85,2017,9
"WEST BENGAL",BARDDHAMAN,KATWA-II,KHARIF,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL OF SHEATH ROT IN PADDY.","RECOMMENDED FOR SPRAY HEXACONAZOLE 5% EC/SC  @  1.5 ML /  LIT OF WATER.",2017-09-04T17:04:35.233,2017,9
HARYANA,HISSAR,ADAMPUR,NA,AGRICULTURE,"Fodder Crops",Guar,"Bio-Pesticides and Bio-Fertilizers","information regarding how to control fangle disease in gaur crop?","control fangle disease inguar :-spray 30gm streptocyclin+200 gm C.O C.in 200 lit water / acre.",2017-09-04T17:04:47.993,2017,9
