StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"UTTAR PRADESH",SITAPUR,REUSA,NA,HORTICULTURE,Fruits,Mango,"	Plant Protection	","aam me kit hai","Monocrotophos 36 WSC 1.5ml/lit ke hisab se spray kare",2017-10-28T06:46:36.18,2017,10
CHHATTISGARH,BILASPUR,BELHA,RABI,AGRICULTURE,Others,Others,Weather,"Farmer needs information regarding weather  for  Bilaspur      district of chhatishgarh state?","No chance for rainfall in your district next 10 days.",2017-10-28T06:49:15.62,2017,10
KARNATAKA,BIJAPUR,INDI,NA,AGRICULTURE,Others,Others,Weather,"ASKED WEATHER REPORT","Precipitation 1%
Mainly clear",2017-10-28T06:49:48.15,2017,10
HARYANA,BHIWANI,KAIRU,NA,AGRICULTURE,Millets,"Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)",Weather,"Information  regarding weather in Bhiwani ?","Information  regarding weather in Bhiwani ?
Some clouds and no chance of  rainfall next few day.",2017-10-28T06:51:06.343,2017,10
HARYANA,HISSAR,AGROHA,KHARIF,AGRICULTURE,Others,Others,Weather,"Information regarding weather ?","weather is clear and there is no chance of rainfall today.",2017-10-28T06:52:00.82,2017,10
TAMILNADU,TIRUNELVELI,PALAYANKOTTAL,RABI,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","Asking about leaf folder in paddy","Recommended for spray Fipronil 2ml / litre of water",2017-10-28T06:52:14.67,2017,10
ODISHA,SONEPUR,BIRMAHARAJPUR,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	","BROWN PLANT HOPPER IN RICE:","BROWN PLANT HOPPER IN RICE:
SPRAY 30 ml VALIDAMYCIN 3 % L + 7 GM THIOMETHAXAM 25 WG IN 15 LITER WATER.",2017-10-28T06:53:57.85,2017,10
KARNATAKA,BIJAPUR,INDI,NA,AGRICULTURE,Others,Others,Weather,"asked for weather report of indi","Precipitation 1%
Mostly sunny",2017-10-28T06:55:06.857,2017,10
"ANDHRA PRADESH","Y S R ",PENDLIMARRI,NA,HORTICULTURE,Flowers,Chrysanthemum,"Nutrient Management","CHRYSANTHIMUM NUTRIENT MANAGEMENT","CHRYSANTHIMUM NUTRIENT MANAGEMENT;RECOMMENDED TO SPRAY 19;19;19 5 GRAMS /LITER OF WATER",2017-10-28T06:55:35.76,2017,10
"UTTAR PRADESH",MATHURA,FARAH,KHARIF,AGRICULTURE,Others,Others,Weather,"weather information ?","kisaan bhai aapke yahan par poore saptah hlke baadal rahne ki saambhawana hai barish ki koi sambhawana nahi hai",2017-10-28T06:56:53.75,2017,10
