StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"JAMMU AND KASHMIR",REASI,MAHORE,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","DISTRICT REASI BLOCK MAHORE Partly to Generally cloudy sky.  with possibility of light/ moderate/heavy Rain/ snow on 4th to 8th of jan.The maximum temperature may vary from 10 to 11 degree celsius while minimum temperature may range from 6 to 7 degree celsius During this period wind may blow from the East North East to South East direction with the average speed of 6km/hr. The morning relative humidity remain 66% and evening relative humidity may range from 35% to 43% during the period.Farmers are advised to go for sowing of late sown wheat crop (varieties: WH-1021, PBW-590, PBW-373,Raj-3077, Raj-3765, DBW-16). Treat the seed with carboxin/carbendazim @ 2g/kg or tebuconazole @1.25g/kg of seed to reduce seed borne diseases.Apply full DAP, MOP and ZnSO4 along with 50% ureaas basal dose at the time of sowing and in rainfed conditions,Farmers may go for sowing of WH-1080, Raj-3077with enhanced seed rate 125 kg /ha and recommended dose of fertilizers. and Top dress urea at vattar condition. in normal sown varieties.Provide drainage channels in the fields wherever there is probability of water accumulation during winter months and make bunds and irrigation channels clean.",2020-01-04T15:21:22.13,2020,1
KARNATAKA,CHIKKABALLAPUR,Gauribidanur,NA,AGRICULTURE,Others,Others,Credit,"asked about sericulture management","--Sericulture helpline- 9900881100/ 9972577708 
",2020-01-04T15:21:32.893,2020,1
"WEST BENGAL",HOOGHLY,DHANIAKHALI,NA,HORTICULTURE,Vegetables,Potato,Weather,"Farmer asked query on Weather","আবহাওয়ার পূর্বাভাস: হুগলী জেলা, ধনিয়াখালী ব্লক : আগামী পাঁচ দিন বৃষ্টিপাতের কোনো সম্ভাবনা নেই, আকাশ সাধারণত আংশিক মেঘলা থাকবে. আজকের প্রত্যাশিত সর্বোচ্চ তাপমাত্রা ২৩.৩ ডিগ্রী সেলসিয়াস এবং সর্বনিম্ন তাপমাত্রা ১৪.৯  ডিগ্রী সেলসিয়াস, এবং বাতাসের গতি ৭ কিমি প্রতি ঘন্টা.আবহাওয়ার পূর্বাভাস অনুযায়ী জমিতে সেচ দিতে পারেন.",2020-01-04T15:21:47.603,2020,1
UTTARAKHAND,NAINITAL,OKHALKANDA,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","मौसम पूर्वानुमान 4 से 7 जनवरी को आंशिक बादल छाए रहेंगे तथा  हल्की बूंदाबांदी की संभावना है 8 व 9 जनवरी में भारी बारिश व बर्फ़बारी होने की संभावना है,  आज का न्यूनतम तापमान 5°C और अधिकतम तापमान 15°C एवं हवा की गति 4 - 11 किमी / घंटा रहने की संभावना है। ",2020-01-04T15:22:14.623,2020,1
BIHAR,SAHARSA,SONBARSA,NA,AGRICULTURE,Others,Others,"Government Schemes","pm kisan samman nidhi yojna related query "," प्रधानमंत्री किसान सम्मान निधि योजना  का पैसा जल्द आएगा ",2020-01-04T15:22:15.077,2020,1
"MADHYA PRADESH",RAJGARH,NARSINGHGARH,NA,AGRICULTURE,Others,Others,"Government Schemes","Farmer wants know information about PM-Kisan samman nidhi yojna ? ","किसान भाई प्रधानमंत्री किसान सम्मान निधि योजना के तहत आपका रजिस्ट्रेशन अभी हुआ नहीं है कृपया कर अपना रजिस्ट्रेशन करवाएं ",2020-01-04T15:22:27.23,2020,1
PUNJAB,BHATINDA,PHUL,NA,AGRICULTURE,Cereals,Wheat,"Weed Management","Information regarding control of grassy leaf weeds control in wheat after first irrigation ?
","ਮੈਂਗਨੀਜ਼ ਦੀ ਘਾਟ ਵਾਲੀਆਂ ਜਮੀਨਾਂ ਵਿੱਚ ਪਹਿਲਾ ਛਿੜਕਾਅ 0.5% ਮੈਂਗਨੀਜ਼ ਸਲਫੇਟ (1 ਕਿਲੋ ਮੈਂਗਨੀਜ਼ ਸਲਫੇਟ ਨੂੰ 200 ਲੀਟਰ ਪਾਣੀ ਵਿੱਚ) ਪਹਿਲੇ ਪਾਣੀ ਤੋਂ 2-4 ਦਿਨ ਪਹਿਲਾਂ ਅਤੇ ਬਾਕੀ 3 ਹੋਰ ਛਿੜਕਾਅ ਪਾਣੀ ਬਾਅਦ ਤੋਂ ਹਫਤੇ-ਹਫਤੇ ਦੇ ਵਕਫ਼ੇ ਉੱਤੇ ਧੁੱਪ ਵਾਲੇ ਦਿਨਾਂ ਵਿੱਚ ਕਰੋ",2020-01-04T15:22:33.343,2020,1
"ANDHRA PRADESH",KURNOOL,GADIVEMULA,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","THERE IS A CHANCE OF : CLOUDY WEATHER IN YOUR AREA
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది 
",2020-01-04T15:22:42.063,2020,1
RAJASTHAN,CHITTAURGARH,"CHHOTI SADRI",NA,AGRICULTURE,Pulses,"Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Weed Management","FARMER ASKED QUERY WATER MANAGEMENT","श्रीमान जी चने में पहला पानी 40 या 45 दिन के बाद में पिला सकते हैं चने की फसल में दो या तीन पानी पिला सकते हैं",2020-01-04T15:22:49.52,2020,1
RAJASTHAN,ALWAR,KATHUMAR,NA,AGRICULTURE,Others,Others,"Government Schemes","--TELL ME ABOUT PM KISAN SAMMAN NIDHI YOJANA HELP LINE NUMBER    ?","प्रधानमंत्री किसान सम्मान निधि योजना के हेल्पलाइन नंबर 1800115526,1800155261  पर संपर्क करें
",2020-01-04T15:23:25.65,2020,1
