StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"JAMMU AND KASHMIR",PULWAMA,PULWAMA,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","Dist.: pulwama
Block:  pulwama
For today [Date-19-04-21]:
WEATHER WILL REMAIN CLEAR
Max Temp (degree Celsius):19
Min Temp (degree Celsius):08
Wind speed:5 km/h

For tomorrow [Date-20-04-21]:
WEATHER WILL REMAIN Cloudy and chances of precipitation from night
Max Temp (degree Celsius):18
Min Temp (degree Celsius):08
Wind speed:5 km/h..

",2021-04-19T07:51:09.85,2021,4
"UTTAR PRADESH",JAUNPUR,"BADLA PUR",NA,HORTICULTURE,Vegetables,Bhindi(Okra/Ladysfinger),"	Plant Protection	","Information about of weed management in BHINDI crop ?","श्रीमान जी आप भिन्डी में खरपतवार नासिक दवा pendimethalin 30 ec 700ML / 200 लीटर पानी में घोल बनाकर प्रति एकड़ की दर से आप स्प्रे कर सकते हैं",2021-04-19T07:51:12.343,2021,4
"JAMMU AND KASHMIR",ANANTNAG,QAZIGUND,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","Follow SOPs for Covid-19
Weather is clear for today with prediction of light to moderate rainfall from 21st to 23rd of April  .Day
temperature shall range between (11 to 15oC) whereas
night temperature shall range between(5 to 6)
0C. The sky
will remain clear with mild wind. The relative humidity
will remain 80-90% and 70-80 over the entire valley
",2021-04-19T07:51:40.283,2021,4
"MADHYA PRADESH",SHIVPURI,PICHHORE,NA,AGRICULTURE,Others,Others,"Government Schemes","Farmer wants to know information about what are the work of kisan call centre ?
","प्रिय किसान भाई किसान कॉल सेंटर की मदद से आप खेती संबंधी सभी प्रकार की चर्चाएं हमारे यहां करके लाभ उठा सकते हैं कृषि क्षेत्र उद्यानिकी क्षेत्र पशुपालन क्षेत्र मुर्गी पालन क्षेत्र या सरकार की कृषि से संबंधित जो योजनाएं क्रियान्वित की जा रही है उन योजनाओं की जानकारी के लिए भी आप हमारे यहां कभी भी फोन कर सकते हैं",2021-04-19T07:51:59.597,2021,4
ODISHA,BALASORE,BALESHWAR,NA,AGRICULTURE,Cereals,"Paddy (Dhan)","	Plant Protection	"," Brown Plant Hopper in Paddy","Recommended to spray  Pymetrozine 50% WG @ 120 g per 200 litre of water per 1 acre (10 g per 15 litre water) or Flonicamid 50% WG @ 65 g per 200 litre of water per 1 acre (5 g in 15 Litre water) + Neem oil (Neemazal) @ 600 mL in 200 L water (45 mL in 15 L water) to control Brown Plant Hopper in paddy.",2021-04-19T07:52:19.5,2021,4
"JAMMU AND KASHMIR",SHUPIYAN,SHOPIAN,NA,HORTICULTURE,Fruits,Apple,"	Plant Protection	","Farmer asked the query regarding spray schedule in apple at petal fall ?","It is advised to the farmer when 60-70% petal fall occurs spray Difenaconazole 25 EC (30ml) or Flusilazole 40 EC (20ml) or Trifloxystrobin (25%) +Tebuconazole (50%) 75 WG (40g ) in 100 litres of water.
",2021-04-19T07:52:32.823,2021,4
"UTTAR PRADESH",KAUSHAMBI,SIRATHU,NA,AGRICULTURE,Millets,"Maize (Makka)","Sowing Time and Weather","  Information about sowing time of makka..?","श्रीमान जी खरीफ में मक्के की बुवाई  मध्य मई से मध्य जून तक बुवाई  कर सकते हैं |",2021-04-19T07:53:32.057,2021,4
BIHAR,KAIMUR,KUDRA,NA,HORTICULTURE,Vegetables,"Cowpea (Vegetable)","	Plant Protection	","PLANT PROTECTION RELATED QUERY
","किसान भाई आप अपने खेत की मिट्टी जांच कराएं जिसके लिए आप कृषि विज्ञान केंद्र में संपर्क कर सकते हैं",2021-04-19T07:53:37.063,2021,4
BIHAR,PURNEA,BAISA,NA,AGRICULTURE,Others,Others,"Government Schemes","Government scheme 
","प्रखंड में कृषि समन्वयक से सम्पर्क करे|
",2021-04-19T07:54:49.413,2021,4
BIHAR,KATIHAR,KORHA,NA,HORTICULTURE,Vegetables,"Pointed Gourd","	Plant Protection	","Plant protection Related query
","मेंकोजेब @ 2 ग्राम प्रति लिटर पानी मे मिलाकर छिड़काव करे! ",2021-04-19T07:55:02.16,2021,4
