StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
BIHAR,PATNA,BIHTA,RABI,AGRICULTURE,Others,Others,"	Plant Protection	","plant protection","Spray Copper oxy chloride @ 2 gm / lit of water",2017-11-09T11:57:17.98,2017,11
TELANGANA,NALGONDA,SURYAPET,NA,AGRICULTURE,Others,Others,Weather,"WEATHER  REPORT","Today Partly cloudy in your area",2017-11-09T11:59:08.543,2017,11
ODISHA,NAWAPARA,NUAPADA,NA,HORTICULTURE,"Condiments and Spices",Garlic,"Cultural Practices","Spacing and fertilizer in garlic","Spacing in garlic-20cm*15cm
Basal fertilizer for garlic-40kg DAP,8kg potas",2017-11-09T11:59:09.34,2017,11
RAJASTHAN,SIKAR,LACHHMANGARH,RABI,HORTICULTURE,Fruits,Citrus,"Fertilizer Use and Availability","TELL ME FERTILIZER IN LEMON OF 5 YRS","FERTILIZER IN LEMON OF 5 YRS. FYM= 20 KG, UREA= 100 GM, DAP= 100 GM, MOP= 100 GM PER PLANT",2017-11-09T11:59:18.043,2017,11
CHHATTISGARH,Bemetara,SAJA,RABI,AGRICULTURE,Others,Others,Weather,"Farmer needs information regarding weather  for Bemetara        district of chhatishgarh state?","No chance for rainfall in next 8 days for your district.",2017-11-09T11:59:36.61,2017,11
MAHARASHTRA,PARBHANI,JINTUR,NA,AGRICULTURE,Others,Others,Weather,"Asking About Weather Forecast ?","This Week Weather Is Cloudy No Rainfall Chances.",2017-11-09T12:00:18.32,2017,11
HARYANA,"MAHENDRA GARH",NARNAUL,RABI,AGRICULTURE,Oilseeds,Mustard,Varieties,"informaton regarding of varieties of musturd?","RH-30 , T-59 ,RH-8113 ,RB-50 ,RH 8812 ,RH 781 ,RH-819 , RH 9304 ,RH 9801 ,RH 0406 ,RB 9901, RH - 0749",2017-11-09T12:00:34.09,2017,11
TAMILNADU,COIMBATORE,KINATHUKADAVU,KHARIF,AGRICULTURE,Others,Others,Weather,"asking about coimbatore today weather Report","Recommended for Coimbatore today weather Report : Light Rain fall (2.5 – 7.5 mm)",2017-11-09T12:00:42.74,2017,11
RAJASTHAN,"SAWAI MADHOPUR",BAMANWAS,KHARIF,AGRICULTURE,Cereals,Wheat,Varieties,"TELL ME VARITEY OF WHEAT","WHEAT VARIETY-RAJ-4120, RAJ-4037, RAJ 3077, RAJ 3777, PBW 343, PBW 550",2017-11-09T12:00:55.057,2017,11
MAHARASHTRA,YEVATMAL,DIGRAS,NA,AGRICULTURE,Pulses,"Pigeon pea (red gram/arhar/tur)","	Field Preparation	","Attack of Caterpillar ?","Spray Quinolphos  20ml/15 Liter of Water.",2017-11-09T12:01:10.52,2017,11
