StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
"UTTAR PRADESH",SITAPUR,"0   ",RABI,HORTICULTURE,0,Rose,75,"rose kee tahaniya sookh rahi hain","apply copper oxicloride @3gm /lit. of water",2011-02-12T20:08:00,2011,2
"UTTAR PRADESH",AGRA,"0   ",RABI,HORTICULTURE,0,1279,76,"insect control in brinjal","apply monocrotphos @2ml /lit. of water",2011-02-12T20:08:00,2011,2
"UTTAR PRADESH",HAMIRPUR,"0   ",KHARIF,AGRICULTURE,0,Others,8,"kissan cradit ki jankari","apply to no. 1800 112211",2011-02-12T20:12:00,2011,2
"UTTAR PRADESH","AMBEDKAR NAGAR","0   ",KHARIF,HORTICULTURE,0,Citrus,76,"insect control in citrus","spray to endosulphane 35 ec 2 ml / liter water.",2011-02-12T20:12:00,2011,2
GUJARAT,JAMNAGAR,"0   ",KHARIF,AGRICULTURE,0,"Oil palm",5,"asked for the variety","suffested to applt seasum-1,2,3 variety",2011-02-12T20:17:00,2011,2
HARYANA,KAITHAL,KAITHAL,KHARIF,AGRICULTURE,0,Wheat,"Fertilizer Use and Availability","ZINC DEFICIENCY IN WHEAT CROP ?","SPRAY TO ZINC SULPHATE @ 500 GM + 2.5 KG UREA IN 100 LITRE OF WATER /ACRE .",2011-02-12T20:19:00,2011,2
"UTTAR PRADESH",CHANDAULI,"0   ",KHARIF,HORTICULTURE,0,1275,76,"lauki ki var .","pusa naveen , panjab komal ,pusa manjari .",2011-02-12T20:29:00,2011,2
ODISHA,CUTTACK,"0   ",NA,HORTICULTURE,0,2108,78,"varieties of tomato.","answer given in details.",2011-02-12T20:42:00,2011,2
GUJARAT,"BANAS KANTHA","0   ",KHARIF,HORTICULTURE,0,1279,74,"asked for the sowing season","suggested to grow now if seedling is ready",2011-02-12T20:42:00,2011,2
"UTTAR PRADESH",MIRZAPUR,"0   ",RABI,AGRICULTURE,0,Wheat,3,"INSACT IN WHEAT","INDOSULPHAN 1.5ML/LIT.OF WATER SPRAY",2011-02-12T20:46:00,2011,2
