StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
BIHAR,NAWADHA,SIRDALA,NA,AGRICULTURE,Others,Others,"Organic Farming","Want to take training in organic farming","	Krishi Vigyan Kendra, Gram Nirman Mandal, Sarvodaya Ashram, Kawakol, Nawada
Contact details	Dr Ranjan Kumar Singh, Head KVK, Contact No.: +91-9508499152",2022-03-24T13:47:48.227,2022,3
"ANDHRA PRADESH",SRIKAKULAM,RANASTALAM,NA,AGRICULTURE,Others,Others,"Government Schemes","Farmer asked query on  Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)scheme.
"," Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)scheme.
155261 / 1800115526 (Toll Free)
Phone: 011-23381092.
Phone: 91-11-23382401.
",2022-03-24T13:47:53.61,2022,3
TAMILNADU,KANCHEEPURAM,ACHARAPAKKAM,NA,HORTICULTURE,Vegetables,Onion,"Cultural Practices","Asking about onion sowing season	","கேள்வி : சின்ன வெங்காயம் விதைக்கும் பருவம் பதில் : ஏப்ரல்  - மே 
",2022-03-24T13:48:22.373,2022,3
RAJASTHAN,JAIPUR,"0   ",NA,HORTICULTURE,Fruits,Mango,"Nutrient Management","TELL ME NUTRIENT MANAGEMENT IN MANGO  ?
","4 साल के आम और चीकू के पौधे में 15 किलो गोबर की खाद सौ ग्राम यूरिया, सौ ग्राम डीएपी और 100 ग्राम m.o.p. डालें",2022-03-24T13:48:36.85,2022,3
TAMILNADU,KANCHEEPURAM,ACHARAPAKKAM,NA,AGRICULTURE,Pulses,"Black Gram (urd bean)","Cultural Practices","Asking about sowing season for black gram	","கேள்வி: உளுந்து பயிரிட உகந்த பருவம் : பதில்: சித்திரைபட்டம் ,ஆடிப்பட்டம் , புரட்டாசிப்பட்டம் மற்றும் மார்கழி – தைப்பட்டம்
",2022-03-24T13:48:48.787,2022,3
"UTTAR PRADESH",JHANSI,BABINA,NA,AGRICULTURE,Cereals,Wheat,Weather,"Information about Weather forecast of Block Babina in District- Jhansi  ......?
","श्रीमान जी 24 से 29 मार्च के बीच बारिश होने की कोई संभावना नहीं है, हल्के बादल बने हुए हैं| आज का न्यूनतम तापमान 26°C और अधिकतम तापमान 34°C एवं हवा की गति 7 से 14 किमी./ प्रति घंटा रहने की संभावना है| मौसम के अनुसार कृषि कार्य को करें|.
",2022-03-24T13:48:58.223,2022,3
"UTTAR PRADESH",SAHARANPUR,"SADAULI QADEEM",NA,HORTICULTURE,Vegetables,Radish,"	Plant Protection	","Information about insect problem in Radish...?","श्रीमान जी डाइमेथोएट 30%EC 300-400 ml/एकड़/200 लीटर पानी का घोल बनाकर स्प्रे करे",2022-03-24T13:49:26.507,2022,3
ODISHA,BALANGIR,AGALPUR,NA,HORTICULTURE,Vegetables,"Bitter Gourd","	Plant Protection	","Sucking pest infestation in Bittergourd ","Sucking pest infestation in Bittergourd = Recommended to spray Marker ( Bifenthrin 10 % EC ) @ 400 ml per 200 litre of water per 1 acre of land",2022-03-24T13:49:30,2022,3
"ANDHRA PRADESH",SRIKAKULAM,RANASTALAM,NA,AGRICULTURE,Others,Others,"Government Schemes","Farmer asked query on  Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)scheme.
"," Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)scheme.
155261 / 1800115526 (Toll Free)
Phone: 011-23381092.
Phone: 91-11-23382401.
",2022-03-24T13:49:38.05,2022,3
"MADHYA PRADESH",SHIVPURI,POHRI,NA,AGRICULTURE,Others,Others,Weather,"Farmer asked query on Weather","मौसम विभाग से प्राप्त जानकारी के अनुसार आपके शिवपुरी जिले के पोहरी विकासखंड में अगले पोहरी विकासखंड में अगले 3 दिनों में आंशिक रूप से बादल हो सकते हैं लेकिन बारिश होने की कोई संभावना नहीं बन रही है आजकल एकदम तापमान 35 डिग्री सेल्सियस व न्यूनतम 26 डिग्री सेल्सियस हवाओं की गति 20 से 25 किलोमीटर प्रति घंटे की रफ्तार से चलने की संभावना है कि नहीं है",2022-03-24T13:49:42.167,2022,3
