StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,Year,Month
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","Asked query related to PM KISAN Scheme","Suggested to call again with your eKYC Registered Mobile Number,because OTP will be sent to your eKYC Registered Mobile Number",2024-01-07T12:57:51.76,2024,1
NA,NA,NA,NA,AGRICULTURE,Pulses,"Lentil (Masur)","Cultural Practices","Cultural Practices Related Query ","--प्रिय कृषक बंधू कोई भी फसल में फूल की अवस्था कोई प्रकार का छिड़काव नहीं किया जाता है। ",2024-01-07T14:53:31.4,2024,1
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","Asked query related to PM Kisan Samman Nidhi scheme Beneficiary status
","PMKISAN reg.no KL212272279",2024-01-09T12:21:39.797,2024,1
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","ASKED ABOUT TO PM KISAN SAMMAN NIDHI YOJANA  ?
","आप अपने नजदीकी पटवारी के पास जाकर अपनी जमीन के जमाबंदी को अपडेट कारण पीएम किसान सम्मन निधि योजना की किस्त प्राप्त करने के लिए
Land Seeding :  No",2024-01-03T12:03:38.96,2024,1
NA,NA,NA,NA,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	","Tamatar ki fasal me jhulsa ke niyantran ke lie kya kare ...?","महोदय, टमाटर की फसल में झुलसा के नियंत्रण के लिए Mancozeb 75% WP @ 500 ग्राम प्रति एकर की दर से 200 लीटर पानी में घोलकर छिड़काव करे |

",2024-01-04T10:48:56.59,2024,1
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","Call disconnected by the farmer","प्रिय कृषक बंधू, आपका फ़ोन कटने के कारण बात पूरी नही हो सकी, अतः आप 18001801551 दुबारा संपर्क करें।",2024-01-02T07:13:47.667,2024,1
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","Government Schemes Related Query ","--प्रिय कृषक बंधू डी. वी. टी. पोर्टल के हेल्प लाइन 0612-2233555 पर संपर्क कर सकते हैं |10 बजे से 5 बजे तक (शनिवार, रविवार एवं अवकाश के दिन को छोड़कर) ",2024-01-06T16:02:10.333,2024,1
NA,NA,NA,NA,AGRICULTURE,Others,Others,"Government Schemes","Query About Jharkhand State Crop Relief Scheme...? ","किसान भाई झारखंड राज्य फसल राहत योजना की जांच प्रक्रिया शुरू है जांच प्रक्रिया होने के बाद जल्द ही राशि जारी की जाएगी ",2024-01-06T17:05:09.293,2024,1
NA,NA,NA,NA,AGRICULTURE,Oilseeds,Mustard,"	Plant Protection	","ASKED ABOUT TO CONTROL IN MUSTERD ?","--सरसों में सफेद रोली रोग के नियंत्रण हेतु घुलनशील गंधक 80% डब्लू.डी.जी. 2 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
",2024-01-06T14:36:17.07,2024,1
NA,NA,NA,NA,HORTICULTURE,Fruits,Papaya,"Nutrient Management","Potassium deficiency in papaya ","--प्रिय कृषक बंधू आप पपीता मे एन.पी.के 19:19:19 का 5 ग्राम प्रति लीटर पानी में घोल बनाकर छिड़काव करें| 

प्रिय कृषक बंधू आप पपीता मे पोटेशियम क्लोराइड 2 ग्राम प्रति लीटर पानी में मिलाकर छिड़काव करे| ",2024-01-02T20:18:05.69,2024,1
